# [1]Indel length	[2]Count
-60	13
-52	1
-50	1
-49	1
-46	1
-45	1
-42	5
-38	1
-36	6
-35	1
-34	1
-33	4
-32	1
-31	1
-29	3
-28	6
-27	2
-26	5
-25	1
-24	7
-22	14
-21	9
-20	15
-19	7
-18	32
-17	3
-16	26
-15	16
-14	22
-13	6
-12	41
-11	9
-10	45
-9	23
-8	75
-7	18
-6	111
-5	52
-4	170
-3	101
-2	322
-1	416
1	513
2	310
3	77
4	142
5	32
6	88
7	21
8	78
9	14
10	58
11	6
12	46
13	5
14	19
15	15
16	17
17	2
18	13
19	1
20	7
21	1
22	2
24	7
25	3
26	4
27	2
28	4
29	1
30	2
33	1
34	2
36	1
37	1
38	1
42	1
44	1
45	2
47	1
48	5
50	1
51	1
52	1
54	2
55	1
58	1
60	7
