# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
0	2.772776	2.772776
1	14.057436	11.284660
2	22.498800	8.441364
3	28.653523	6.154723
4	33.778958	5.125435
5	38.549544	4.770586
6	42.976534	4.426990
7	46.836365	3.859831
8	50.204058	3.367693
9	53.202648	2.998590
10	56.133719	2.931071
11	58.881738	2.748019
12	61.349179	2.467441
13	63.710840	2.361661
14	66.064249	2.353409
15	68.097318	2.033069
16	69.930831	1.833513
17	71.817609	1.886778
18	73.645871	1.828262
19	75.314338	1.668467
20	76.749490	1.435152
21	78.044353	1.294863
22	79.291952	1.247599
23	80.387259	1.095307
24	81.504322	1.117063
25	82.593627	1.089305
26	83.619164	1.025537
27	84.594437	0.975273
28	85.673239	1.078802
29	86.680771	1.007532
30	87.707809	1.027038
31	88.647072	0.939263
32	89.480555	0.833483
33	90.350048	0.869493
34	91.231545	0.881497
35	92.029769	0.798224
36	92.791982	0.762213
37	93.471672	0.679690
38	94.034330	0.562658
39	94.527968	0.493638
40	94.916577	0.388609
41	95.315689	0.399112
42	95.670538	0.354849
43	95.993128	0.322590
44	96.242198	0.249070
45	96.576792	0.334594
46	96.859621	0.282829
47	97.028418	0.168797
48	97.191214	0.162796
49	97.317249	0.126035
50	97.458288	0.141039
51	97.585073	0.126785
52	97.660844	0.075771
53	97.744868	0.084024
54	97.831142	0.086274
55	97.904663	0.073521
56	97.994688	0.090025
57	98.071960	0.077272
58	98.150732	0.078772
59	98.215250	0.064518
60	98.279768	0.064518
61	98.327031	0.047263
62	98.367542	0.040511
63	98.403552	0.036010
64	98.447064	0.043512
65	98.484575	0.037511
66	98.515334	0.030759
67	98.546843	0.031509
68	98.583603	0.036760
69	98.616612	0.033009
70	98.654123	0.037511
71	98.686382	0.032259
72	98.714140	0.027758
73	98.741898	0.027758
74	98.759153	0.017255
75	98.777158	0.018005
76	98.789161	0.012003
77	98.803415	0.014254
78	98.826672	0.023257
79	98.837925	0.011253
80	98.849178	0.011253
81	98.862682	0.013504
82	98.877686	0.015004
83	98.885188	0.007502
84	98.894941	0.009753
85	98.902443	0.007502
86	98.911446	0.009003
87	98.926450	0.015004
88	98.936203	0.009753
89	98.954958	0.018755
90	98.964711	0.009753
91	98.972213	0.007502
92	98.981216	0.009003
93	98.989468	0.008252
94	98.996970	0.007502
95	99.002972	0.006002
